product_id,variant_id,status,title,variant,sku,old_price,final_price,changed
9920601719032,48966678905080,ACTIVE,Certified 2.5ct VVS1 Round Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 10,,7700.00,7700.00,No (reverted)
9920601784568,48966679363832,ACTIVE,Certified 4.90ct VS1 Radiant White Moissanite Ring For Birthday 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00994,7000.00,7000.00,No (reverted)
9920601784568,48966679396600,ACTIVE,Certified 4.90ct VS1 Radiant White Moissanite Ring For Birthday 18K Gold Plated,18K Gold Plated Vermeil / 5,,7000.00,7000.00,No (reverted)
9920601784568,48966679429368,ACTIVE,Certified 4.90ct VS1 Radiant White Moissanite Ring For Birthday 18K Gold Plated,18K Gold Plated Vermeil / 6,,7000.00,7000.00,No (reverted)
9920601784568,48966679462136,ACTIVE,Certified 4.90ct VS1 Radiant White Moissanite Ring For Birthday 18K Gold Plated,18K Gold Plated Vermeil / 8,,7000.00,7000.00,No (reverted)
9920601784568,48966679494904,ACTIVE,Certified 4.90ct VS1 Radiant White Moissanite Ring For Birthday 18K Gold Plated,18K Gold Plated Vermeil / 9,,7000.00,7000.00,No (reverted)
9920601784568,48966679527672,ACTIVE,Certified 4.90ct VS1 Radiant White Moissanite Ring For Birthday 18K Gold Plated,18K Gold Plated Vermeil / 10,,7000.00,7000.00,No (reverted)
9920601850104,48966679953656,ACTIVE,Certified 7.5ct VS White Moissanite Ring for Love 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00993,10500.00,10500.00,No (reverted)
9920601850104,48966679986424,ACTIVE,Certified 7.5ct VS White Moissanite Ring for Love 18K Gold Plated,18K Gold Plated Vermeil / 5,,10500.00,10500.00,No (reverted)
9920601850104,48966680019192,ACTIVE,Certified 7.5ct VS White Moissanite Ring for Love 18K Gold Plated,18K Gold Plated Vermeil / 6,,10500.00,10500.00,No (reverted)
9920601850104,48966680051960,ACTIVE,Certified 7.5ct VS White Moissanite Ring for Love 18K Gold Plated,18K Gold Plated Vermeil / 8,,10500.00,10500.00,No (reverted)
9920601850104,48966680084728,ACTIVE,Certified 7.5ct VS White Moissanite Ring for Love 18K Gold Plated,18K Gold Plated Vermeil / 9,,10500.00,10500.00,No (reverted)
9920601850104,48966680117496,ACTIVE,Certified 7.5ct VS White Moissanite Ring for Love 18K Gold Plated,18K Gold Plated Vermeil / 10,,10500.00,10500.00,No (reverted)
9920601882872,48966680150264,ACTIVE,Certified 1.25ct Round VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00992,4200.00,5099.99,Yes
9920601882872,48966680183032,ACTIVE,Certified 1.25ct Round VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 5,,4200.00,5099.99,Yes
9920601882872,48966680215800,ACTIVE,Certified 1.25ct Round VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 6,,4200.00,5099.99,Yes
9920601882872,48966680248568,ACTIVE,Certified 1.25ct Round VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 8,,4200.00,5099.99,Yes
9920601882872,48966680281336,ACTIVE,Certified 1.25ct Round VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 9,,4200.00,5099.99,Yes
9920601882872,48966680314104,ACTIVE,Certified 1.25ct Round VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 10,,4200.00,5099.99,Yes
9920601948408,48966680740088,ACTIVE,Certified 1.35ct VVS1 Round Pink Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00991,6300.00,6300.00,No (reverted)
9920601948408,48966680772856,ACTIVE,Certified 1.35ct VVS1 Round Pink Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 5,,6300.00,6300.00,No (reverted)
9920601948408,48966680805624,ACTIVE,Certified 1.35ct VVS1 Round Pink Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 6,,6300.00,6300.00,No (reverted)
9920601948408,48966680838392,ACTIVE,Certified 1.35ct VVS1 Round Pink Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 8,,6300.00,6300.00,No (reverted)
